Year,Month,Day,Value
2001,1,1,67
2001,2,1,28
2001,3,1,94
2001,4,1,14
2001,5,1,59
2001,6,1,39
2001,7,1,75
2001,8,1,33
2001,9,1,39
2001,10,1,79
2001,11,1,63
2001,12,1,96
2001,1,2,71
2001,2,2,63
2001,3,2,96
2001,4,2,24
2001,5,2,67
2001,6,2,0
2001,7,2,6
2001,8,2,26
2001,9,2,33
2001,10,2,76
2001,11,2,52
2001,12,2,26
2001,1,3,10
2001,2,3,61
2001,3,3,70
2001,4,3,10
2001,5,3,6
2001,6,3,55
2001,7,3,96
2001,8,3,77
2001,9,3,73
2001,10,3,71
2001,11,3,60
2001,12,3,34
2001,1,4,62
2001,2,4,96
2001,3,4,85
2001,4,4,33
2001,5,4,29
2001,6,4,89
2001,7,4,69
2001,8,4,62
2001,9,4,46
2001,10,4,8
2001,11,4,79
2001,12,4,38
2001,1,5,51
2001,2,5,90
2001,3,5,56
2001,4,5,78
2001,5,5,58
2001,6,5,69
2001,7,5,95
2001,8,5,40
2001,9,5,76
2001,10,5,73
2001,11,5,69
2001,12,5,39
2001,1,6,69
2001,2,6,17
2001,3,6,4
2001,4,6,43
2001,5,6,49
2001,6,6,11
2001,7,6,19
2001,8,6,20
2001,9,6,26
2001,10,6,38
2001,11,6,56
2001,12,6,68
2001,1,7,31
2001,2,7,74
2001,3,7,69
2001,4,7,46
2001,5,7,55
2001,6,7,97
2001,7,7,75
2001,8,7,80
2001,9,7,75
2001,10,7,14
2001,11,7,27
2001,12,7,7
2001,1,8,83
2001,2,8,1
2001,3,8,15
2001,4,8,88
2001,5,8,54
2001,6,8,47
2001,7,8,6
2001,8,8,32
2001,9,8,22
2001,10,8,41
2001,11,8,91
2001,12,8,89
2001,1,9,21
2001,2,9,67
2001,3,9,37
2001,4,9,63
2001,5,9,11
2001,6,9,94
2001,7,9,82
2001,8,9,74
2001,9,9,0
2001,10,9,64
2001,11,9,21
2001,12,9,80
2001,1,10,81
2001,2,10,84
2001,3,10,41
2001,4,10,32
2001,5,10,42
2001,6,10,43
2001,7,10,35
2001,8,10,0
2001,9,10,76
2001,10,10,42
2001,11,10,65
2001,12,10,23
2001,1,11,45
2001,2,11,75
2001,3,11,70
2001,4,11,37
2001,5,11,18
2001,6,11,57
2001,7,11,90
2001,8,11,86
2001,9,11,65
2001,10,11,98
2001,11,11,71
2001,12,11,90
2001,1,12,42
2001,2,12,99
2001,3,12,74
2001,4,12,67
2001,5,12,7
2001,6,12,78
2001,7,12,39
2001,8,12,84
2001,9,12,98
2001,10,12,16
2001,11,12,35
2001,12,12,89
2001,1,13,6
2001,2,13,50
2001,3,13,12
2001,4,13,57
2001,5,13,23
2001,6,13,58
2001,7,13,23
2001,8,13,16
2001,9,13,53
2001,10,13,54
2001,11,13,61
2001,12,13,24
2001,1,14,63
2001,2,14,62
2001,3,14,91
2001,4,14,30
2001,5,14,2
2001,6,14,47
2001,7,14,96
2001,8,14,98
2001,9,14,33
2001,10,14,94
2001,11,14,98
2001,12,14,82
2001,1,15,45
2001,2,15,62
2001,3,15,32
2001,4,15,80
2001,5,15,81
2001,6,15,21
2001,7,15,11
2001,8,15,74
2001,9,15,22
2001,10,15,89
2001,11,15,64
2001,12,15,25
2001,1,16,63
2001,2,16,81
2001,3,16,4
2001,4,16,69
2001,5,16,3
2001,6,16,53
2001,7,16,8
2001,8,16,69
2001,9,16,78
2001,10,16,96
2001,11,16,51
2001,12,16,42
