2008,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2,91,66,91,28,42,20,13,9,54,15,54,16
3,95,9,35,11,10,90,92,85,53,36,95,6
4,51,8,93,66,34,66,2,42,64,60,29,81
5,58,81,21,94,99,87,42,72,50,38,98,81
6,71,37,99,75,60,99,80,11,12,2,59,71
7,53,72,71,69,50,85,38,80,64,54,97,57
8,58,15,68,22,57,93,67,81,61,79,31,18
9,18,73,65,41,87,70,4,7,4,71,16,43
10,68,15,78,25,92,78,23,41,83,64,35,35
11,66,31,84,22,47,94,76,14,30,69,85,79
12,35,66,51,57,82,22,47,84,38,17,76,16
13,40,71,8,64,58,52,41,30,54,60,7,49
14,34,54,72,46,12,98,20,26,73,62,96,12
15,6,48,31,75,27,59,41,54,36,79,35,76
16,97,90,8,5,76,71,41,2,23,90,14,94
17,12,72,58,34,63,51,94,18,87,81,5,56
18,93,54,4,64,27,30,23,98,96,49,25,3
19,39,33,47,16,63,57,84,96,96,33,97,70
20,53,1,86,51,57,70,76,82,24,84,1,49
21,90,52,46,42,83,47,6,48,1,11,93,45
22,37,6,59,99,42,61,81,13,59,77,13,85
23,48,55,70,34,3,99,83,84,89,32,96,86
24,10,41,11,59,29,71,4,64,69,53,43,49
25,98,35,96,39,92,63,76,85,2,9,59,43
26,34,37,19,46,98,33,21,89,59,25,46,99
27,64,6,15,4,80,73,89,48,69,33,16,29
28,53,20,94,3,43,35,12,62,16,56,83,76
29,60,94,75,12,89,66,63,87,39,19,44,26
30,63,##,2,60,37,55,62,50,63,48,6,70
31,42,##,87,##,37,##,23,70,##,24,##,77
